country,region,c1_security_apparatus_variability,c1_security_apparatus_growth,c2_factionalized_elites_variability,c2_factionalized_elites_growth,c3_group_grievance_variability,c3_group_grievance_growth,e1_economy_variability,e1_economy_growth,e2_economic_inequality_variability,e2_economic_inequality_growth,e3_human_flight_and_brain_drain_variability,e3_human_flight_and_brain_drain_growth,p1_state_legitimacy_variability,p1_state_legitimacy_growth,p2_public_services_variability,p2_public_services_growth,p3_human_rights_variability,p3_human_rights_growth,s1_demographic_pressures_variability,s1_demographic_pressures_growth,s2_refugees_and_idps_variability,s2_refugees_and_idps_growth,x1_external_intervention_variability,x1_external_intervention_growth
China,East and Southeast Asia,0.06867938704865233,-0.006771842743320544,0.032670426013581444,-0.006178511404421161,0.06977833431528452,-0.012139791167850578,0.0979995988606807,-0.01807898587832757,0.15133804463054892,-0.023881663689083732,0.1983243386855178,-0.04168951949336175,0.03411329811336009,-0.0028314017536492653,0.1386680844016775,-0.025568150641617104,0.039426973528073825,0.002561222100803562,0.15748097679834172,-0.015656378950763328,0.21265286345835505,-0.02885997436029175,0.1664251610788701,-0.0053369884723109
Colombia,South America,0.08791677669740518,-0.017210012902840854,0.05469510260379207,-0.011175626828011986,0.0345679225799132,-0.000800012293257657,0.18162971874857503,0.0396725346821829,0.10919102885010491,-0.01655370188769223,0.20340274543827494,-0.035473746360237035,0.15294476765535056,-0.02873301960195085,0.05490262659848941,-0.004697327455581379,0.04103041361574602,-0.0007788275415617774,0.08851869132155779,0.0063858078621619185,0.08040652690706322,-0.009026699555267914,0.15556180671569356,-0.021579037300747506
Comoros,Africa,0.08973644157480844,-0.011146223403453948,0.060747557019897196,0.013062032986787653,0.07725621480138362,-0.0061740431964456555,0.04334684143017631,-0.0025139534092140092,0.08856116577693476,0.01466470940059561,0.08718324940313579,0.014708042438486002,0.07098420012011593,0.0007864830036206083,0.04275014764271014,-0.005228874343236711,0.07491276618661294,-0.009120867361083529,0.06743013586650486,0.017627618328775574,0.16955378169402555,0.026842325987967985,0.11959138271481919,-0.006663457520555305
Congo Democratic Republic,Africa,0.05056925007288219,-0.0063112156257993934,0.04727335832291243,0.0,0.052564154896320624,0.0019097787061015392,0.031621177223125276,0.0,0.038124212900991016,-0.00405018001223012,0.07296872843681827,-0.013040319809382916,0.0465272730182003,0.0019306744637799245,0.03224177725447402,0.0019306744637799245,0.03883280329027643,-0.0012508287341586044,0.023412974907445983,0.0012262857980038788,0.032020324517754,0.0018305314438200604,0.03075154401164557,-0.005532327029322492
Congo Republic,Africa,0.06838206692077753,-0.013074079979585096,0.02914224461410764,-0.004488241332117893,0.13125608802933564,0.01624485519810781,0.11428676385097712,0.007135265898578824,0.026240234080653603,-0.004798515233924161,0.07579693083177684,0.0010167991445872993,0.026863467660398398,0.00427211520372639,0.03394599406513397,-0.0007140384421119306,0.05192263935940653,-0.005782077414065112,0.03724695915914411,-0.0014524979874813715,0.0756315963806546,-0.007228260256929686,0.11163605687271351,-0.015111044960867459
Costa Rica,Central America and the Caribbean,0.20780399449933085,0.0220972867750171,0.06855280048481731,0.008333271078247328,0.16114384377668303,-0.029601596065625624,0.09046691460679107,0.011874102575376133,0.13747329860643287,-0.011423006458422535,0.15983370352191303,-0.03153484492898628,0.37900861326628627,-0.06698373646359435,0.1615122813509267,0.02952731448582524,0.4122774480782729,-0.06102567387237878,0.2754436312715461,-0.041865939092044946,0.09617798136356737,0.009108923067066454,0.0902004448607033,-0.014674466614694848
Cote d'Ivoire,Africa,0.11587187085722603,-0.022985406883108683,0.046184538189185505,0.0005973766798337277,0.1112940137077055,-0.022120775954689198,0.1215380710151496,-0.02168353320020111,0.026634514920102423,-0.003789186442721748,0.11357778448486462,-0.022231982492712743,0.10710945527905363,-0.016780094049074212,0.036962143523192395,-0.002111415421399143,0.09593774774853968,-0.018023150492775364,0.03392640474927703,-0.0013514106225841482,0.12399848533259482,-0.013808991190726316,0.0990645783271535,-0.019138261449144545
Croatia,Europe,0.22744799213340594,-0.03995331314520678,0.05251975682751075,0.007120998571757076,0.09785839727340748,-0.024012135653706745,0.06023246981527006,-0.0010225205581491092,0.29263587531597995,-0.038970640868509876,0.10376751374718479,0.011765788040923653,0.26740918165780353,-0.03480206288130605,0.18039806082201376,-0.0201631398357065,0.23345899147138974,-0.047813780203989076,0.22482165301101753,-0.010057916067208517,0.11367701298147959,0.0017575994262848393,0.10903448988897801,-0.01481739177149577
Cuba,Central America and the Caribbean,0.25495223489144503,-0.049087567999420045,0.04221281875551106,-0.00782401956775891,0.2599467188308582,-0.05247262897373173,0.17123609785887806,-0.008728482446039965,0.20305635139140185,-0.04213716313131333,0.12102438143382958,-0.00405018001223012,0.0594080853457029,-0.001526803036919211,0.10576858733827867,0.006952470848288872,0.07598056313176163,-0.016087189453407147,0.11189377069048137,-0.014015599276988033,0.22583535071320063,-0.02235870756443492,0.20891788471953293,-0.03238265611252822
Cyprus,Europe,0.1635553273485955,-0.018738886188371384,0.025720781653556218,-0.004296824709137725,0.1857045479122759,-0.0373824652636523,0.14101325556190503,0.00668866311189853,0.1773752684351063,-0.031102685276031328,0.1838875305275543,-0.03120832173385446,0.12975093532552395,-0.014674466614694848,0.18225411602024524,-0.014085856119005813,0.1041455574210151,-0.009026699555267914,0.17069948109721358,-0.02243063527334055,0.12287247581108664,0.029486271296790267,0.04378751139021858,-0.004751561476040833
