country,region,fragility.Average_HumanRights,fragility.Volatility_HumanRights
Russia,Central Asia,0.001279640785795788,0.04927353922681277
Rwanda,Africa,-0.0126644770391946,0.09456838959418125
Samoa,Australia and Oceania,-0.015764059409580033,0.1031104905812504
Sao Tome and Principe,Africa,-0.04830900332151744,0.26164291610790225
Saudi Arabia,Middle East,-0.0028314017536492653,0.03430255570717007
Senegal,Africa,-0.015508089683340054,0.10840369998564217
Serbia,Europe,-0.02408370301709406,0.18623107141289286
Seychelles,Africa,-0.02322915240099155,0.20003228823513428
Sierra Leone,Africa,-0.013040319809382916,0.12884092906413797
Singapore,East and Southeast Asia,0.01489301364623885,0.0815328762321545
Slovakia,Europe,-0.03995331314520678,0.2471860242091841
Slovenia,Europe,-0.05556486371801039,0.4267693756768286
Solomon Islands,Australia and Oceania,-0.03522708485904513,0.20439516797881624
Somalia,Africa,-0.0031753725871714877,0.04387774859587484
South Africa,Africa,0.010782514247816843,0.05479800773745272
South Korea,East and Southeast Asia,0.009711741205118862,0.07710932923448986
South Sudan,Africa,-0.005067160082762423,0.049914618880763
Spain,Europe,-0.027664488053437464,0.30106550711604196
Sri Lanka,South Asia,0.009108923067066454,0.05866332904129392
Sudan,Africa,-0.00370950868806319,0.03946928902325118
Suriname,South America,-0.021892540659991466,0.13997630602351607
Sweden,Europe,0.0,0.24973836473784333
Switzerland,Europe,-0.0748046212731942,0.3358657972143845
Syria,Middle East,0.0006502016534295496,0.05812581604148845
Tajikistan,Central Asia,0.0,0.03795287636825319
Tanzania,Africa,-0.00405018001223012,0.03728449098456784
Thailand,East and Southeast Asia,0.010015597339769977,0.08297851382734518
Timor-Leste,East and Southeast Asia,-0.02636155529933637,0.18333495089538251
Togo,Africa,-0.013761263800500245,0.07235844569914691
Trinidad and Tobago,Central America and the Caribbean,-0.026738278666627036,0.18257829502719922
Tunisia,Africa,-0.01807898587832757,0.14595539939563035
Turkey,Middle East,0.028033004753126534,0.1930511460428557
Turkmenistan,Central Asia,-0.01127038115686163,0.05088816283797039
Uganda,Africa,-0.006178511404421272,0.03763483836770684
Ukraine,Europe,0.016557425699213146,0.09515511706700075
United Arab Emirates,Middle East,0.006812716753290982,0.11210853901182138
United Kingdom,Europe,0.017809950212084757,0.1636586536277341
United States,North America,-0.01020366733325584,0.13832033764332172
Uruguay,South America,0.021681291109137968,0.1405509133996392
Uzbekistan,Central Asia,-0.01414257326922097,0.08475829637484607
Venezuela,South America,0.00575996455605976,0.0832394139849404
Vietnam,East and Southeast Asia,0.004066650679529049,0.03936134411441723
Yemen,Middle East,0.01706647103818071,0.11514987990821837
Zambia,Africa,0.015235190241646102,0.10291694857604428
Zimbabwe,Africa,-0.011531122525354487,0.07726598525869711
